"topic_fit_rank","cluster_id","cluster","fit_tier","reviewer","official_role","official_profile_url","expertise_evidence_url","evidence_note","conflict_status","screening_action","evidence_paper_count","direct_paper_count","adjacent_paper_count","topic_fit_score","evidence_ids","paper_evidence_status"
"11","C3","LLM/AI4SE, empirical evidence & workflow validation","B","Antonio Mastropaolo","Member","https://conf.researchr.org/profile/fse-2027/antoniomastropaolo2","https://arxiv.org/abs/2402.16480","Coauthor of a verified mining-based study of ChatGPT usage in open-source projects.","NONE_SEEN","LLM usage/task taxonomy and empirical mining context.","4","0","4","4","E064;E065;E066;E067","MULTI_PAPER_CHECKED"
"12","C3","LLM/AI4SE, empirical evidence & workflow validation","B","Baishakhi Ray","Chair","https://conf.researchr.org/profile/fse-2027/baishakhiray","https://www.rayb.info/publication","Public publication page centers AI for Code and code-model testing; official PC chair membership confirmed.","NONE_SEEN","AI4SE/code-model evaluation context.","4","0","4","4","E053;E054;E055;E056","MULTI_PAPER_CHECKED"
"13","C2","Requirements, NLP, ambiguity & trace-link recovery","B","Massimiliano Di Penta","Member","https://conf.researchr.org/profile/fse-2027/massimilianodipenta","https://mdipenta.github.io/publications/","Public publication list covers software analytics/mining and LLM usage studies; official PC membership confirmed.","NONE_SEEN","Empirical mining and LLM-for-SE adjacency.","4","0","4","4","E045;E046;E047;E048","MULTI_PAPER_CHECKED"
"14","C3","LLM/AI4SE, empirical evidence & workflow validation","B","Michael Pradel","Chair","https://conf.researchr.org/profile/fse-2027/michaelpradel","https://doi.org/10.1145/3368089.3409715","Verified TypeWriter paper uses search-based validation for neural predictions; official PC chair membership confirmed.","NONE_SEEN","LLM workflow validation analogy; not a traceability paper.","3","0","3","3","E050;E051;E052","MULTI_PAPER_CHECKED"
"15","C1","Architecture, architecture knowledge & traceability","B","Alberto Bacchelli","Area Chair","https://conf.researchr.org/profile/fse-2027/albertobacchelli","https://sback.it/publications.php","Public publication list and a verified island-parsing paper cover structured extraction from natural-language artifacts.","NONE_SEEN","Useful for artifact mining/extraction framing; not a direct TLR citation.","1","0","1","1","E049","LIMITED_PAPER_CHECKED"
"16","C3","LLM/AI4SE, empirical evidence & workflow validation","B","Kailong Wang","Member","https://conf.researchr.org/profile/fse-2027/kailongwang","https://doi.org/10.1145/3695988","Coauthor of a verified TOSEM systematic literature review on LLMs for software engineering.","NONE_SEEN","LLM4SE survey/context candidate.","1","0","1","1","E057","LIMITED_PAPER_CHECKED"
"17","C3","LLM/AI4SE, empirical evidence & workflow validation","B","Xiapu Luo","Member","https://conf.researchr.org/profile/fse-2027/xiapuluo","https://doi.org/10.1145/3695988","Coauthor of the same verified LLM-for-SE systematic literature review; official PC membership confirmed.","NONE_SEEN","LLM4SE survey/context candidate.","1","0","1","1","E058","LIMITED_PAPER_CHECKED"
"18","C4","Program analysis, testing & software quality","B","Abhik Roychoudhury","Area Chair","https://conf.researchr.org/profile/fse-2027/abhikroychoudhury","https://conf.researchr.org/profile/fse-2027/abhikroychoudhury","Official PC profile only in this pass; screen for program analysis and correctness/evidence fit.","NONE_SEEN","Methodological adjacency; verify before citing.","0","0","0","0","","PROFILE_ONLY"
"19","C4","Program analysis, testing & software quality","B","Andreas Zeller","Member","https://conf.researchr.org/profile/fse-2027/andreaszeller","https://conf.researchr.org/profile/fse-2027/andreaszeller","Official PC profile only in this pass; screen for debugging and program-analysis fit.","NONE_SEEN","Program-analysis/debugging adjacency.","0","0","0","0","","PROFILE_ONLY"
"20","C1","Architecture, architecture knowledge & traceability","A","Anne Koziolek","Member","https://conf.researchr.org/profile/fse-2027/annekoziolek","https://conf.researchr.org/profile/fse-2027/annekoziolek","Official PC membership plus local bibliography shows repeated coauthorship on the target line; expertise signal is local-project evidence.","POTENTIAL_CHECK","Treat as a conflict check, not as a citation target; confirm venue policy before submission.","0","0","0","0","","PROFILE_ONLY"
"21","C5","Software evolution, mining & adjacent empirical methods","B","Bram Adams","Area Chair","https://conf.researchr.org/profile/fse-2027/bramadams","https://conf.researchr.org/profile/fse-2027/bramadams","Official PC profile only in this pass; screen for software evolution/mining relevance.","NONE_SEEN","Software-evolution and repository-mining adjacency.","0","0","0","0","","PROFILE_ONLY"
"22","C5","Software evolution, mining & adjacent empirical methods","B","Claire Le Goues","Area Chair","https://conf.researchr.org/profile/fse-2027/clairelegoues","https://conf.researchr.org/profile/fse-2027/clairelegoues","Official PC profile only in this pass; screen for program repair and AI-for-SE relevance.","NONE_SEEN","AI-for-SE and evaluation adjacency.","0","0","0","0","","PROFILE_ONLY"
"23","C2","Requirements, NLP, ambiguity & trace-link recovery","B","Jürgen Cito","Member","https://conf.researchr.org/profile/fse-2027/jurgencito","https://conf.researchr.org/profile/fse-2027/jurgencito","Official PC profile only in this pass; screen for software systems and empirical/tooling fit.","NONE_SEEN","Adjacent tooling and empirical-method candidate.","0","0","0","0","","PROFILE_ONLY"
"24","C5","Software evolution, mining & adjacent empirical methods","B","Kelly Blincoe","Area Chair","https://conf.researchr.org/profile/fse-2027/kellyblincoe","https://conf.researchr.org/profile/fse-2027/kellyblincoe","Official PC profile only in this pass; screen for empirical requirements/software-engineering relevance.","NONE_SEEN","Empirical SE and requirements adjacency.","0","0","0","0","","PROFILE_ONLY"
"25","C5","Software evolution, mining & adjacent empirical methods","B","Lin Tan","Area Chair","https://conf.researchr.org/profile/fse-2027/lintan","https://conf.researchr.org/profile/fse-2027/lintan","Official PC profile only in this pass; screen for software analysis/evolution relevance.","NONE_SEEN","Software-analysis adjacency.","0","0","0","0","","PROFILE_ONLY"
"26","C4","Program analysis, testing & software quality","B","Lingming Zhang","Area Chair","https://conf.researchr.org/profile/fse-2027/lingmingzhang","https://conf.researchr.org/profile/fse-2027/lingmingzhang","Official PC profile only in this pass; screen for AI/code and program-analysis relevance.","NONE_SEEN","AI-for-code/program-analysis adjacency.","0","0","0","0","","PROFILE_ONLY"
"27","C1","Architecture, architecture knowledge & traceability","B","Luciano Baresi","Member","https://conf.researchr.org/profile/fse-2027/lucianobaresi","https://conf.researchr.org/profile/fse-2027/lucianobaresi","Official PC profile only in this pass; retain as an architecture-adjacent candidate pending publication-level verification.","NONE_SEEN","Screen if the final paper emphasizes architecture evolution or systems.","0","0","0","0","","PROFILE_ONLY"
"28","C4","Program analysis, testing & software quality","B","Marcel Böhme","Member","https://conf.researchr.org/profile/fse-2027/marcelbohme","https://conf.researchr.org/profile/fse-2027/marcelbohme","Official PC profile only in this pass; screen for testing, reliability, and empirical SE fit.","NONE_SEEN","Quality/evaluation adjacency.","0","0","0","0","","PROFILE_ONLY"
"29","C3","LLM/AI4SE, empirical evidence & workflow validation","B","Mike Papadakis","Area Chair","https://conf.researchr.org/profile/fse-2027/mikepapadakis","https://conf.researchr.org/profile/fse-2027/mikepapadakis","Official PC profile only in this pass; retain for testing/evaluation-method screening.","NONE_SEEN","Adjacent empirical evaluation and software-quality candidate.","0","0","0","0","","PROFILE_ONLY"
"30","C4","Program analysis, testing & software quality","B","Miryung Kim","Area Chair","https://conf.researchr.org/profile/fse-2027/miryungkim","https://web.cs.ucla.edu/~miryung/publications.html","Public publication page covers program comprehension and code evolution.","NONE_SEEN","Program-comprehension and evolution adjacency.","0","0","0","0","","PROFILE_ONLY"
"31","C2","Requirements, NLP, ambiguity & trace-link recovery","B","Romain Robbes","Member","https://conf.researchr.org/profile/fse-2027/romainrobbes","https://conf.researchr.org/profile/fse-2027/romainrobbes","Official PC profile only in this pass; screen for program-comprehension and software-evolution relevance.","NONE_SEEN","Adjacent program-comprehension/software-evolution candidate.","0","0","0","0","","PROFILE_ONLY"
"32","C4","Program analysis, testing & software quality","B","Shahar Maoz","Area Chair","https://conf.researchr.org/profile/fse-2027/shaharmaoz","https://conf.researchr.org/profile/fse-2027/shaharmaoz","Official PC profile only in this pass; screen for modeling and verification fit.","NONE_SEEN","Modeling/verification adjacency.","0","0","0","0","","PROFILE_ONLY"
"33","C5","Software evolution, mining & adjacent empirical methods","B","Yun Lin","Area Chair","https://conf.researchr.org/profile/fse-2027/yunlin","https://conf.researchr.org/profile/fse-2027/yunlin","Official PC profile only in this pass; screen for empirical/AI-for-SE relevance.","NONE_SEEN","Adjacent methods candidate; verify topical fit.","0","0","0","0","","PROFILE_ONLY"
