project,backend,sentence,component,component_id,reference,antecedent_sentence,antecedent_text,p1,p2,twopass_approved,coref_approved,in_gold
teammates,claude,186,E2E,_EIoe8KETEeu-mYqkDskRow,Its,185,The E2E component has no knowledge of the internal workings of the application and can only interact either with Web browser as a whole application or REST API calls for the back-end logic.,True,True,True,True,True
bigbluebutton,claude,6,HTML5 Client,_0e5u8FkHEeyewPSmlgszyA,the BigBlueButton client,5,"The HTML5 client is a single page, responsive web application that is built upon the following components, React.js for rendering the user interface in an efficient manner, WebRTC for sending/receiving audio and video.",True,True,True,True,True
bigbluebutton,claude,9,HTML5 Client,_0e5u8FkHEeyewPSmlgszyA,each BigBlueButton client,6,"The HTML5 client connects directly with the BigBlueButton server over port 443 (SSL), from loading the BigBlueButton client to making a web socket connection.",True,True,True,True,True
bigbluebutton,claude,10,HTML5 Server,_yGgUMFkHEeyewPSmlgszyA,the server,9,The HTML5 server is built upon Meteor.js in ECMA2015 for communication between client and server and upon MongoDB for keeping the state of each BigBlueButton client consistent with the BigBlueButton server.,True,True,True,True,True
bigbluebutton,claude,10,HTML5 Client,_0e5u8FkHEeyewPSmlgszyA,each client,9,The HTML5 server is built upon Meteor.js in ECMA2015 for communication between client and server and upon MongoDB for keeping the state of each BigBlueButton client consistent with the BigBlueButton server.,True,True,True,True,True
bigbluebutton,claude,11,HTML5 Client,_0e5u8FkHEeyewPSmlgszyA,client,10,each client connected to a meeting,True,True,True,True,True
bigbluebutton,claude,12,HTML5 Client,_0e5u8FkHEeyewPSmlgszyA,The client side,11,Each user's client is only aware of the their meeting's state,True,True,True,True,True
bigbluebutton,claude,12,HTML5 Server,_yGgUMFkHEeyewPSmlgszyA,the server side,9,The HTML5 server is built upon Meteor.js in ECMA2015 for communication between client and server and upon MongoDB for keeping the state of each BigBlueButton client consistent with the BigBlueButton server.,True,True,True,True,True
bigbluebutton,claude,13,HTML5 Server,_yGgUMFkHEeyewPSmlgszyA,the server side,9,The HTML5 server is built upon Meteor.js in ECMA2015 for communication between client and server and upon MongoDB for keeping the state of each BigBlueButton client consistent with the BigBlueButton server.,True,True,True,True,True
bigbluebutton,claude,13,HTML5 Client,_0e5u8FkHEeyewPSmlgszyA,the client side,12,The client side subscribes to the published collections on the server side.,True,True,True,True,True
bigbluebutton,claude,14,HTML5 Client,_0e5u8FkHEeyewPSmlgszyA,its,14,the HTML5 client,True,True,True,True,True
bigbluebutton,claude,37,BBB web,_4yx-8FkHEeyewPSmlgszyA,BigBlueButton web application,36,BBB web.,True,True,True,True,True
bigbluebutton,claude,38,BBB web,_4yx-8FkHEeyewPSmlgszyA,It,37,BigBlueButton web application is a Java-based application written in Scala.,True,True,True,True,True
bigbluebutton,claude,53,Apps,_XuNf4FkJEeyewPSmlgszyA,It,52,BigBlueButton Apps is the main application that pulls together the different applications to provide real-time collaboration in the meeting.,True,True,True,True,True
bigbluebutton,claude,58,FSESL,_9wZIcFkHEeyewPSmlgszyA,the component that integrates with FreeSWITCH,57,FSESL akka.,True,True,True,True,False
bigbluebutton,claude,69,kurento,_oN4CMFkHEeyewPSmlgszyA,KMS,68,Kurento Media Server KMS is a media server that implements both SFU and MCU models.,True,True,True,True,True
bigbluebutton,claude,70,WebRTC-SFU,_s0aIcFkHEeyewPSmlgszyA,The WebRTC-SFU,67,Kurento and WebRTC-SFU.,True,True,True,True,True
bigbluebutton,claude,73,HTML5 Client,_0e5u8FkHEeyewPSmlgszyA,the BigBlueButton client,72,the BigBlueButton HTML5 client,True,True,True,True,True
bigbluebutton,claude,73,HTML5 Client,_0e5u8FkHEeyewPSmlgszyA,the BigBlueButton client,72,the BigBlueButton HTML5 client,True,True,True,True,True
bigbluebutton,claude,76,HTML5 Client,_0e5u8FkHEeyewPSmlgszyA,the client,73,the BigBlueButton client,True,True,True,True,True
bigbluebutton,claude,79,HTML5 Client,_0e5u8FkHEeyewPSmlgszyA,the client,76,the client,True,True,True,True,True
jabref,claude,3,model,_MFIzMEl4Ee243f2e4VWs6w,the center,1,the model in the center,True,True,True,False,False
jabref,claude,6,logic,_He3LoEl4Ee243f2e4VWs6w,it,6,The logic is responsible for reading/writing/importing/exporting and manipulating the model,True,True,True,True,True
jabref,claude,12,model,_MFIzMEl4Ee243f2e4VWs6w,the model,9,The model should have no dependencies to other classes of JabRef and the logic should only depend on model classes.,True,True,True,True,True
mediastore,openai,9,MediaManagement,_p_EeYHDrEeSqnN80MQ2uGw,it,8,The MediaManagement component coordinates the communication of other components.,True,True,True,True,True
mediastore,openai,17,TagWatermarking,_h_QpkLhEEeSNPorBlo7x9g,these audio files,16,the TagWatermarking component,False,False,False,True,True
mediastore,openai,21,Reencoding,_o10-YHDrEeSqnN80MQ2uGw,This,20,The ReEncoder component converts the bit rates of audio files.,True,False,False,False,False
mediastore,openai,24,DB,_5LN7MLg2EeSNPorBlo7x9g,It,23,"The Database component represents an actual database (e.g., MySQL).",True,True,True,True,True
mediastore,openai,28,MediaAccess,_9eK7YHDrEeSqnN80MQ2uGw,it,27,The MediaAccess component encapsulates database access for meta-data of audio files.,True,True,True,True,True
mediastore,openai,31,DB,_5LN7MLg2EeSNPorBlo7x9g,The Database component,31,The Database component,True,True,True,True,True
mediastore,openai,32,DB,_5LN7MLg2EeSNPorBlo7x9g,the Database component,31,The Database component then executes the actual query for files.,True,True,True,True,True
mediastore,openai,33,FileStorage,_qxAiILg7EeSNPorBlo7x9g,the DataStorage,33,the DataStorage,True,True,True,True,True
mediastore,openai,34,DB,_5LN7MLg2EeSNPorBlo7x9g,the Database,32,the Database component,True,True,True,True,True
mediastore,openai,35,FileStorage,_qxAiILg7EeSNPorBlo7x9g,the DataStorage,33,the DataStorage,True,True,True,True,True
mediastore,openai,36,FileStorage,_qxAiILg7EeSNPorBlo7x9g,it,35,the DataStorage,False,False,False,True,True
teastore,openai,6,WebUI,_bC13QDVWEeqPG_FgW3bi6Q,It,5,The WebUI provides the TeaStore front-end using Servlets in combination with JSP files.,True,True,True,True,True
teastore,openai,8,WebUI,_bC13QDVWEeqPG_FgW3bi6Q,The UI,7,the WebUi,True,True,True,True,True
teastore,openai,10,ImageProvider,_yA04AKTKEeqKjI323B3R3w,It,10,The Image Provider,True,True,True,True,True
teastore,openai,11,ImageProvider,_yA04AKTKEeqKjI323B3R3w,It,10,The Image Provider delivers images to the WebUI as base64 encoded strings to embed them in the final HTML.,True,True,True,True,True
teastore,openai,18,Auth,_AiuxcDVdEeqPG_FgW3bi6Q,The Auth service,18,The Auth service handles user and session authentication.,True,True,True,True,True
teastore,openai,23,Persistence,_lnx1oDVWEeqPG_FgW3bi6Q,It,22,The Persistence service provides access to the data persisted in the relational database back-end.,True,True,True,True,True
teastore,openai,24,Persistence,_lnx1oDVWEeqPG_FgW3bi6Q,It,22,The Persistence service provides access to the data persisted in the relational database back-end.,True,True,True,True,True
teastore,openai,26,Persistence,_lnx1oDVWEeqPG_FgW3bi6Q,it,25,The persistence provider uses a second level entity cache provided by the JPA implementation.,True,False,False,False,True
teastore,openai,28,Recommender,_m3fxEDVWEeqPG_FgW3bi6Q,It,27,The Recommender is used to generate individual product recommendations for each user.,True,True,True,True,True
teastore,openai,38,Registry,_dhM6oDVXEeqPG_FgW3bi6Q,the registry,37,The Registry,True,True,True,True,True
teastore,openai,40,Registry,_dhM6oDVXEeqPG_FgW3bi6Q,the register function,37,The Registry,True,False,False,False,False
teastore,openai,43,Registry,_dhM6oDVXEeqPG_FgW3bi6Q,it,41,one single registry,True,False,False,False,True
teammates,openai,3,UI,_1lMqsKESEeu-mYqkDskRow,the main components,1,UI Component,True,True,True,False,False
teammates,openai,3,Logic,_3LCnIKESEeu-mYqkDskRow,the main components,1,Logic Component,True,True,True,False,False
teammates,openai,3,Storage,_9JlCIKESEeu-mYqkDskRow,the main components,1,Storage Component,True,True,True,False,False
teammates,openai,3,Common,_zUmhEKESEeu-mYqkDskRow,the main components,1,Common Component,True,True,True,False,False
teammates,openai,3,Test Driver,_Bae2oKETEeu-mYqkDskRow,the main components,1,Test Driver Component,True,True,True,False,False
teammates,openai,3,E2E,_EIoe8KETEeu-mYqkDskRow,the main components,1,E2E Component,True,True,True,False,False
teammates,openai,3,Client,_GaP8QKETEeu-mYqkDskRow,the main components,1,Client Component,True,True,True,False,False
teammates,openai,5,UI,_1lMqsKESEeu-mYqkDskRow,This UI,4,The UI Browser,True,True,True,True,True
teammates,openai,9,Storage,_9JlCIKESEeu-mYqkDskRow,The storage layer of the application,1,Storage Component,True,True,True,True,True
teammates,openai,16,E2E,_EIoe8KETEeu-mYqkDskRow,Its,15,The E2E end-to-end component,True,True,True,True,True
teammates,openai,19,Client,_GaP8QKETEeu-mYqkDskRow,It,18,The Client component,True,True,True,True,True
teammates,openai,24,UI,_1lMqsKESEeu-mYqkDskRow,It,25,the UI component,True,True,True,True,False
teammates,openai,27,UI,_1lMqsKESEeu-mYqkDskRow,It,24,the front-end of the application,True,True,True,True,False
teammates,openai,30,UI,_1lMqsKESEeu-mYqkDskRow,Such a request,29,The UI component is the first stop for 99% of all requests that are received by the application.,False,True,False,False,False
teammates,openai,37,UI,_1lMqsKESEeu-mYqkDskRow,The request,29,The UI component is the first stop for 99% of all requests that are received by the application.,False,True,False,False,False
teammates,openai,38,UI,_1lMqsKESEeu-mYqkDskRow,The initial request,29,The UI component is the first stop for 99% of all requests that are received by the application.,False,True,False,False,False
teammates,openai,47,Logic,_3LCnIKESEeu-mYqkDskRow,it,47,the Logic component,True,False,False,True,True
teammates,openai,50,UI,_1lMqsKESEeu-mYqkDskRow,it,50,the front-end,True,False,False,True,False
teammates,openai,58,GAE Datastore,_KGVMcKETEeu-mYqkDskRow,the GAE server,58,the GAE server,False,False,False,False,False
teammates,openai,59,GAE Datastore,_KGVMcKETEeu-mYqkDskRow,This type of request,58,the GAE server,False,False,False,False,False
teammates,openai,60,GAE Datastore,_KGVMcKETEeu-mYqkDskRow,the source of the request,58,the GAE server,False,False,False,False,False
teammates,openai,68,Logic,_3LCnIKESEeu-mYqkDskRow,the corresponding AutomatedAction,68,the Logic component,True,False,False,True,True
teammates,openai,78,Logic,_3LCnIKESEeu-mYqkDskRow,it,77,The Logic component handles the business logic of TEAMMATES.,True,True,True,True,True
teammates,openai,81,UI,_1lMqsKESEeu-mYqkDskRow,the UI component,81,the UI component,True,True,True,True,True
teammates,openai,85,Logic,_3LCnIKESEeu-mYqkDskRow,the component,77,The Logic component handles the business logic of TEAMMATES.,True,True,True,True,False
teammates,openai,85,UI,_1lMqsKESEeu-mYqkDskRow,the UI,81,the UI component,True,True,True,True,True
teammates,openai,88,Storage,_9JlCIKESEeu-mYqkDskRow,the Storage component,88,the Storage component,True,True,True,True,True
teammates,openai,96,Logic,_3LCnIKESEeu-mYqkDskRow,this component,87,"Logic API is represented by the classes Logic, GateKeeper, EmailGenerator, EmailSender, TaskQueuer.",True,True,True,True,False
teammates,openai,97,UI,_1lMqsKESEeu-mYqkDskRow,The UI,97,The UI is expected to check access control (using GateKeeper class) before calling a method in the Logic.,True,True,True,True,True
teammates,openai,97,Logic,_3LCnIKESEeu-mYqkDskRow,the Logic,97,The UI is expected to check access control (using GateKeeper class) before calling a method in the Logic.,True,True,True,True,True
teammates,openai,101,Storage,_9JlCIKESEeu-mYqkDskRow,Storage level,101,Storage level,True,True,True,True,True
teammates,openai,119,Storage,_9JlCIKESEeu-mYqkDskRow,It,118,"The Storage component performs CRUD (Create, Read, Update, Delete) operations on data entities individually.",True,True,True,True,True
teammates,openai,120,Storage,_9JlCIKESEeu-mYqkDskRow,it,118,"The Storage component performs CRUD (Create, Read, Update, Delete) operations on data entities individually.",True,True,True,True,True
teammates,openai,125,Storage,_9JlCIKESEeu-mYqkDskRow,this component,123,All GQL queries are to be contained inside the Storage component.,True,True,True,True,False
teammates,openai,131,Storage,_9JlCIKESEeu-mYqkDskRow,the component,128,The Storage component does not perform any cascade delete/create operations.,True,True,True,True,False
teammates,openai,141,GAE Datastore,_KGVMcKETEeu-mYqkDskRow,the Google's distributed datastore,137,These classes act as the bridge to the GAE Datastore.,True,True,True,True,True
teammates,openai,142,GAE Datastore,_KGVMcKETEeu-mYqkDskRow,the data,141,Eventual consistency here means it takes some time for a database operation to propagate across all serves of the Google's distributed datastore.,False,False,False,True,False
teammates,openai,156,Common,_zUmhEKESEeu-mYqkDskRow,Package overview,155,The Common component contains common utilities used across TEAMMATES.,False,False,False,True,False
teammates,openai,163,Test Driver,_Bae2oKETEeu-mYqkDskRow,Test Driver,163,Test Driver can use the DataBundle in this manner to send an arbitrary number of objects to be persisted in the database.,True,True,True,True,True
teammates,openai,168,Test Driver,_Bae2oKETEeu-mYqkDskRow,This component,163,Test Driver can use the DataBundle in this manner to send an arbitrary number of objects to be persisted in the database.,True,True,True,True,True
teammates,openai,186,E2E,_EIoe8KETEeu-mYqkDskRow,Its,185,The E2E component has no knowledge of the internal workings of the application and can only interact either with Web browser as a whole application or REST API calls for the back-end logic.,True,True,True,True,True
bigbluebutton,openai,7,HTML5 Client,_0e5u8FkHEeyewPSmlgszyA,These connections,6,"The HTML5 client connects directly with the BigBlueButton server over port 443 (SSL), from loading the BigBlueButton client to making a web socket connection.",True,True,True,False,False
bigbluebutton,openai,12,HTML5 Client,_0e5u8FkHEeyewPSmlgszyA,The client side,6,"The HTML5 client connects directly with the BigBlueButton server over port 443 (SSL), from loading the BigBlueButton client to making a web socket connection.",True,True,True,True,True
bigbluebutton,openai,12,HTML5 Server,_yGgUMFkHEeyewPSmlgszyA,the server side,8,The HTML5 server sits behind nginx.,True,True,True,True,True
bigbluebutton,openai,14,HTML5 Client,_0e5u8FkHEeyewPSmlgszyA,the other components,14,The following diagram gives an overview of the architecture of the HTML5 client and its communications with the other components in BigBlueButton.,False,False,False,True,True
bigbluebutton,openai,15,HTML5 Server,_yGgUMFkHEeyewPSmlgszyA,HTML5 server component,8,The HTML5 server sits behind nginx.,True,True,True,True,True
bigbluebutton,openai,17,HTML5 Server,_yGgUMFkHEeyewPSmlgszyA,This process,15,Scalability of HTML5 server component.,True,True,True,True,False
bigbluebutton,openai,20,HTML5 Server,_yGgUMFkHEeyewPSmlgszyA,This,19,BigBlueButton 2.3 moves away from a single nodejs process for bbb-html5 towards multiple nodejs processes handling incoming messages from clients.,True,False,False,True,True
bigbluebutton,openai,29,HTML5 Server,_yGgUMFkHEeyewPSmlgszyA,Backends,21,"bbb-html5 uses 2 ""frontend"" and two ""backend"" processes",True,True,True,True,False
bigbluebutton,openai,30,BBB web,_4yx-8FkHEeyewPSmlgszyA,bbb-web,30,bbb-web,True,True,True,True,True
bigbluebutton,openai,31,BBB web,_4yx-8FkHEeyewPSmlgszyA,the associated instanceId,30,bbb-web splits the load in round-robin fashion by assigning an instanceId,False,False,False,False,False
bigbluebutton,openai,38,BBB web,_4yx-8FkHEeyewPSmlgszyA,It,37,BigBlueButton web application is a Java-based application written in Scala.,True,True,True,True,True
bigbluebutton,openai,42,BBB web,_4yx-8FkHEeyewPSmlgszyA,its own front-end,37,BigBlueButton web application is a Java-based application written in Scala.,False,False,False,False,False
bigbluebutton,openai,44,BBB web,_4yx-8FkHEeyewPSmlgszyA,The BigBlueButton,37,BigBlueButton web application is a Java-based application written in Scala.,False,False,False,False,False
bigbluebutton,openai,50,Redis DB,_RDHFIFwPEeyiuNx_RO7j-Q,the recorded events,49,all events are stored in Redis DB.,False,False,False,False,False
bigbluebutton,openai,52,Apps,_XuNf4FkJEeyewPSmlgszyA,the main application,51,Apps akka.,True,True,True,True,True
bigbluebutton,openai,53,Apps,_XuNf4FkJEeyewPSmlgszyA,It,52,BigBlueButton Apps is the main application that pulls together the different applications to provide real-time collaboration in the meeting.,True,True,True,True,True
bigbluebutton,openai,58,FSESL,_9wZIcFkHEeyewPSmlgszyA,the component that integrates with FreeSWITCH,57,FSESL akka.,True,True,True,False,False
bigbluebutton,openai,69,kurento,_oN4CMFkHEeyewPSmlgszyA,KMS,68,Kurento Media Server KMS is a media server that implements both SFU and MCU models.,True,True,True,True,True
bigbluebutton,openai,72,FreeSWITCH,_nwrCMFwPEeyiuNx_RO7j-Q,the voice conference (running in FreeSWITCH),66,FreeSWITCH can also be integrated with VOIP providers so that users who are not able to join using the headset will be able to call in using their phone.,True,True,True,True,True
bigbluebutton,openai,73,HTML5 Client,_0e5u8FkHEeyewPSmlgszyA,the BigBlueButton client,72,A user can join the voice conference (running in FreeSWITCH) from the BigBlueButton HTML5 client or through the phone.,True,True,True,True,True
bigbluebutton,openai,73,HTML5 Client,_0e5u8FkHEeyewPSmlgszyA,the BigBlueButton client,72,A user can join the voice conference (running in FreeSWITCH) from the BigBlueButton HTML5 client or through the phone.,True,True,True,True,True
bigbluebutton,openai,76,HTML5 Client,_0e5u8FkHEeyewPSmlgszyA,the client,73,"When joining through the client, the user can choose to join Microphone or Listen Only, and the BigBlueButton client will make an audio connection to the server via WebRTC.",True,True,True,True,True
bigbluebutton,openai,78,BBB web,_4yx-8FkHEeyewPSmlgszyA,bbb-web,78,The PDF document is then converted into scalable vector graphics (SVG) via bbb-web.,True,True,True,True,True
bigbluebutton,openai,79,Redis PubSub,_6sergFkHEeyewPSmlgszyA,the Redis pubsub,79,The conversion process sends progress messages to the client through the Redis pubsub.,True,True,True,True,True
jabref,openai,6,logic,_He3LoEl4Ee243f2e4VWs6w,it,6,The logic,True,True,True,True,True
jabref,openai,7,preferences,_NUdtEEl4Ee243f2e4VWs6w,his preferences,2,preferences,False,False,False,True,False
